location,mean_wis,sd_wis,n
HHS Region 2,1.7331422601693351,0.6248595953981826,4
HHS Region 1,1.090328010538577,0.11670929222865793,4
HHS Region 6,0.925318815053804,0.3474387320575848,4
HHS Region 8,0.7340395412777632,0.30474127400100665,4
HHS Region 5,0.4796024099107825,0.1631860574228389,4
HHS Region 10,0.3258271421100402,0.21923134678217446,4
HHS Region 9,0.22997666951355425,0.05490167967372419,4
HHS Region 4,0.21123663526874237,0.013338689714537118,4
HHS Region 3,0.2066178338499079,0.05109680727639685,4
HHS Region 7,0.20583523383478255,0.03151975806132116,4
US National,0.19191704928418193,0.03971438252201578,4
